,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,ID,dataType
LOC652281,-0.1116940784,0.0994057155,0.3066412471,0.4326912529,0.2282167387,NA,L
LOC652290,-0.2716615946,-0.3105294503,-0.1734972923,-0.1533341884,-0.1642815104,NA,L
LOC652291,0.234620206,0.4139106292,0.5774897604,0.5338937454,0.4500117003,NA,L
LOC652324,0.3255782819,0.5799968652,0.6849309626,0.6685595001,0.9199542972,NA,L
LOC652377,0.6082252724,0.5866961527,0.4003439478,0.1783315796,0.0090246774,NA,L
LOC652388,0.3462186101,0.437769234,0.4573354447,0.0115745199,-0.0652965824,NA,L
LOC652455,0.3303296884,-0.2310040184,-0.3254611203,-0.2362330282,-0.4061740331,NA,L
LOC652458,0.1928238318,-0.3806639298,-0.3945175637,-0.3288990251,-0.5993460023,NA,L
LOC652489,-1.0450487961,-0.8695514739,-0.3760938478,-0.3056814251,-0.4945225832,NA,L
LOC652492,-0.086722465,0.0437585873,0.1408572154,0.3268841408,0.1054534565,NA,L
LOC652541,-0.0073417409,0.0596708265,0.0735677196,-0.5867436768,0.0776386267,NA,L
LOC652545,0.1039761718,0.3052986726,0.1079061117,0.1659240694,0.4124869216,NA,L
LOC652588,0.0205584414,0.0261701813,-0.284418989,-0.0413202081,0.0710970533,NA,L
LOC652595,0.5326804163,0.7797561529,0.1803800072,0.5207167506,0.2520512924,NA,L
LOC652628,0.0299982585,-0.0472900294,0.3722533835,0.1462418429,0.0775905269,NA,L
LOC652637,0.0488656974,0.1067747012,0.4833031468,0.1951284663,0.1661438701,NA,L
LOC652645,0.1579263121,-0.0039140259,0.0618283409,0.4083510951,0.2275587133,NA,L
LOC652668,0.6012696869,0.2911335724,0.2137754789,0.2457657837,0.524576998,NA,L
LOC652675,-0.6868617364,-0.6428122667,-0.4290611864,-0.4311691925,-0.3874741476,NA,L
LOC652676,-0.110310456,0.0219493154,0.493349195,-0.0918260241,0.134101574,NA,L
LOC652688,-0.1972191873,-0.2158552925,-0.363231349,-0.398340211,-0.3880017943,NA,L
LOC652694,-0.0229257393,0.274960836,0.8778370703,0.5380025107,0.7105623523,NA,L
LOC652699,0.1057589023,-0.0421711011,0.1097936439,0.1726584378,0.1935813139,NA,L
LOC652725,-0.2202693738,-0.2722642294,-0.3268226428,0.1220016286,-0.1973670562,NA,L
LOC652726,0.0822867123,-0.0303649505,-0.1495179751,0.1596016076,-0.4456505693,NA,L
LOC652747,0.01866049,0.0963137251,0.000909481,0.1864025995,0.2261957649,NA,L
LOC652768,0.0883331498,0.1059032109,0.0061610069,0.3577841033,0.0357574136,NA,L
LOC652815,0.4956229926,0.0646391858,0.5270767661,0.3088709788,0.764079231,NA,L
LOC652826,0.321149548,-0.0765306345,-0.754415945,-0.3090623457,-0.7280714235,NA,L
LOC652864,0.6459924085,0.4038054684,-0.1355277193,0.1329499287,-0.1775861258,NA,L
LOC652877,-0.0424913148,-0.1281494623,-0.1004871143,-0.2253947346,-0.2150136858,NA,L
LOC652881,0.4245513108,0.3212649143,0.7907993606,0.2075936152,0.3952563418,NA,L
LOC652900,0.2666484479,0.7388017368,1.2188343732,0.8085407897,1.4122352394,NA,L
LOC652903,0.0466766004,-0.0839913071,-0.5846193322,-0.4081356439,-0.4548167187,NA,L
LOC652968,0.885054758,-0.0695415291,0.6010359304,0.3949582215,0.5547041517,NA,L
LOC653034,0.0794254451,0.1906808933,0.3232297615,0.2269756235,0.2780791272,NA,L
LOC653071,-0.1556660201,-0.2239864918,-1.163275306,-0.1177960627,-0.680416496,NA,L
LOC653073,0.2429824086,0.1372095525,0.1459379977,0.1048641941,0.2768523661,NA,L
LOC653079,0.1979553017,0.3263875824,0.39901387,0.3137391055,0.4173912966,NA,L
LOC653086,-0.1023117498,-0.8042777167,-0.0571971747,-0.6105580858,-0.6804208649,NA,L
LOC653103,-0.0842574572,-0.1004668805,-0.452164802,-0.6944393874,-0.2015384214,NA,L
LOC653105,-0.0911291856,0.0902405547,-0.2981815303,-0.0837785834,-0.2750545861,NA,L
LOC653113,-0.0553141181,-0.1483309101,-0.2014533641,-0.0264986495,-0.2294633708,NA,L
LOC653156,-0.0662298873,0.2273785881,0.6061668332,0.2292482971,0.6031254371,NA,L
LOC653157,-0.0625839688,-0.236882902,-0.2024642241,-0.0404681735,-0.3204565065,NA,L
LOC653158,-0.4246181945,-0.9007361323,-0.5746822825,-0.7766483396,-0.9817840607,NA,L
LOC653162,-0.055767509,0.330224173,0.6422220725,0.2215997616,0.2834257154,NA,L
LOC653171,0.3666025331,0.3913343191,0.4453361425,0.5616821903,0.2983191697,NA,L
LOC653184,0.0759111712,-0.035266951,0.1954013235,-0.0545605207,0.2380464417,NA,L
LOC653226,-0.2021311434,-0.1785878513,-0.4099353568,-0.0017652165,-0.5346061451,NA,L
LOC653232,0.100727484,0.4569063844,0.2611211576,0.3985719689,0.634359582,NA,L
LOC653276,0.1229153925,0.2025080713,0.0046706107,0.1382274492,0.2005172165,NA,L
LOC653308,0.4471423292,0.5935405204,0.0796243044,0.5019286556,0.3976060497,NA,L
LOC653314,0.177120085,0.3253691452,0.0982421963,0.3464258253,0.3357031295,NA,L
LOC653319,0.1749312661,0.1013706853,0.3681968147,0.1732968695,0.1881234043,NA,L
LOC653333,0.035054153,0.1157301486,0.3669015903,0.1372147328,0.2678649401,NA,L
LOC653337,0.0265502559,0.488471118,0.5040613288,0.4370276683,0.2931035497,NA,L
LOC653355,-0.1544421845,-0.4432300328,-0.4160586931,-0.4552477744,-0.5771700481,NA,L
LOC653375,-0.18588611,-0.2725194995,-0.6153890458,-0.2368665168,-0.3940422767,NA,L
LOC653377,-0.2519824746,-0.7416669533,-1.1560791457,-0.4723726049,-0.5688048308,NA,L
LOC653381,0.5564808465,0.7042963451,1.0249818926,0.2337992361,0.4886925007,NA,L
LOC653383,0.1783042807,-0.3265253379,-0.2433760457,0.04401681,-0.2832777448,NA,L
LOC653419,0.0374058613,0.3329548387,0.37628511,0.0015049481,0.0249785404,NA,L
LOC653423,0.2314924995,0.0878891027,0.2273591177,0.1283662553,0.4520200667,NA,L
LOC653450,-0.5043516746,-0.8432781036,-1.3111561278,-1.3904653941,-1.0602862239,NA,L
