,D1.log2fc,D1.adjPval,D3.log2fc,D3.adjPval,D6.log2fc,D6.adjPval,D10.log2fc,D10.adjPval,D14.log2fc,D14.adjPval
hsa-miR-3178,0.259919,0.6052265698,-0.662375,0.0866738249,-1.745272,0.0004223777,-1.7270965,0.000400155,-1.2391985,0.0029243107
hsa-miR-3179,-0.6820595,0.2246885187,-0.860747,0.0780658753,-0.80634,0.0689451423,-1.169578,0.0136510288,-1.07488,0.0198436408
hsa-miR-3186-5p,0.2812285,0.3982852288,0.5749795,0.04391238,0.4532435,0.076136526,0.752572,0.0078388021,0.4011815,0.1110725901
hsa-miR-3188,-0.503857,0.1027417557,-0.284405,0.2830845921,-0.581187,0.0203119761,-0.398124,0.0896518786,-0.656395,0.0109853619
hsa-miR-3192,0.2786745,0.2986287429,0.090794,0.7569922107,0.143727,0.5390522288,0.5539415,0.0138754447,0.056027,0.8258603796
hsa-miR-3193,0.5166805,0.1282429974,0.3457155,0.231275103,0.6799625,0.0155599574,0.336585,0.1912866322,0.3963915,0.1250919488
hsa-miR-3195,-0.44453,0.0987954014,-0.757157,0.0041784607,-1.149677,0.0001573292,-0.642259,0.0046285672,-0.3323995,0.0919474206
hsa-miR-3196,-0.3918925,0.5329123913,-0.7833705,0.1148335117,-0.9405655,0.0428097292,0.9133075,0.0473832937,0.52937,0.2250977236
hsa-miR-3197,0.0635645,0.933884412,0.2463765,0.5002785765,0.177738,0.6083706786,0.645529,0.0365550888,0.2081925,0.4929101062
hsa-miR-320a,0.33903,0.2125150612,0.6110165,0.0156150983,1.315142,0.0001070701,1.4383535,4.47383966462308E-05,1.4647245,3.76510654856401E-05
hsa-miR-320b,0.3107575,0.2017928599,0.576062,0.010658525,1.201357,8.77704474213689E-05,1.331946,3.22987033668862E-05,1.36231,2.75551152548948E-05
hsa-miR-320c,0.615295,0.0166027006,0.684754,0.003538561,1.3427975,2.75737218962373E-05,1.697251,0.000004605,1.741678,0.00000453
hsa-miR-320d,0.4145715,0.1002157324,0.6800715,0.0057593413,1.324787,5.76515570097072E-05,1.616274,1.16016069933218E-05,1.754537,6.29783219278379E-06
hsa-miR-320e,0.369076,0.163500561,0.6413325,0.0095578079,1.369077,6.31985197911738E-05,1.490794,2.82556614868485E-05,1.678727,1.07747394018751E-05
hsa-miR-323b-3p,-0.8841785,0.0327796926,-0.623395,0.0686631086,-0.454528,0.134935782,-0.0495185,0.9090841202,0.6462545,0.0388976878
hsa-miR-324-5p,0.300475,0.4784858576,0.5801295,0.0906222866,0.6603565,0.0407642793,1.244202,0.0014605266,1.4648885,0.0004874688
hsa-miR-326,0.80995,0.259304268,0.591363,0.3547249606,1.626038,0.0094908586,2.2812105,0.0013126945,1.701975,0.0068934987
hsa-miR-328,0.155013,0.64682591,0.3266845,0.2007412419,0.7714165,0.0048710916,0.951223,0.0012058024,1.134511,0.0003674634
hsa-miR-329,-0.6304625,0.2417650913,-0.755838,0.1034852146,-0.8421985,0.0491488067,-0.5964065,0.1486867471,-0.8799625,0.0403808989
hsa-miR-331-3p,-0.4629035,0.1423422579,-0.6495915,0.0238792126,-0.428952,0.0789103552,-0.2924705,0.2283137617,0.1015485,0.7099490755
hsa-miR-331-5p,0.034893,0.9627800741,0.1007895,0.8170414438,0.61721,0.0439770092,0.5700265,0.058027883,0.348321,0.2252490674
hsa-miR-335,-0.733955,0.0450757549,-1.1851745,0.0024440224,-1.4511655,0.0002998473,-1.777617,6.82032117103137E-05,-1.716408,7.93409302057545E-05
hsa-miR-337-3p,-0.254769,0.3981331318,-0.688069,0.0127781974,-0.752693,0.0051748338,-0.7946715,0.0031314821,-0.6993705,0.0067326107
hsa-miR-337-5p,-0.3658685,0.2568243611,-0.8896405,0.0059998936,-0.981208,0.0018749456,-0.7950105,0.0055202686,-0.7690075,0.0067575799
hsa-miR-338-5p,0.6791525,0.0322065068,0.575337,0.0291320403,0.727286,0.0056982978,0.2670515,0.2335994923,0.068894,0.7954656192
hsa-miR-339-3p,-0.343464,0.5786682725,-1.2514375,0.0157232173,-1.0968495,0.0176971451,-0.4786385,0.2632631369,-0.5438525,0.1963146186
hsa-miR-339-5p,-0.227205,0.5548226244,-0.0568245,0.88815128,0.75277,0.012154764,0.7690135,0.0102065261,1.086214,0.0014351107
hsa-miR-33a,-0.729218,0.2125150612,-0.6426995,0.193550762,0.421351,0.3637477389,0.7463075,0.0925238948,1.068623,0.022539207
hsa-miR-33b,0.037619,0.9682706526,0.3427705,0.3850243508,0.6491345,0.0635131764,1.1513295,0.003995944,1.519182,0.0007515787
hsa-miR-342-3p,0.6810885,0.0322065068,0.8650435,0.0046154574,1.0472015,0.0007769178,1.0399965,0.0007202714,1.3265055,0.000132776
hsa-miR-342-5p,0.4411625,0.0627331777,0.354857,0.074803215,0.379369,0.0404785912,0.0991225,0.6310835706,-0.086371,0.6610537304
hsa-miR-34a,-0.5966985,0.1302162836,-0.425027,0.2101012622,-0.618823,0.0473392965,-0.200792,0.561889751,-0.257756,0.3980526343
hsa-miR-361-3p,0.266566,0.2874236881,0.452236,0.0414047084,-0.0078335,0.9741809767,0.2064485,0.2867559853,0.081569,0.7099444113
hsa-miR-361-5p,0.2213005,0.3982852288,0.252682,0.2568185122,0.660496,0.0051748338,0.6854285,0.0034404028,0.7660705,0.0018135913
hsa-miR-3619-5p,0.430807,0.2183617361,0.4375275,0.1428422644,0.4038405,0.1378698443,0.642036,0.0246883184,0.3648135,0.1715127183
hsa-miR-3621,-0.4770005,0.1302162836,-0.9067,0.0046154574,-1.6686185,6.0475841779302E-05,-2.088136,1.09661016025755E-05,-1.603491,0.000052732
hsa-miR-363,0.6398495,0.2558005388,0.772696,0.1097590878,1.010435,0.0278343727,0.565049,0.1912866322,0.6292035,0.143995054
hsa-miR-3647-5p,0.2711645,0.6805397794,0.4964325,0.3029909284,0.5130125,0.2308870025,0.75876,0.0732643666,0.890164,0.0403808989
hsa-miR-3648,1.1646465,0.071610841,1.357487,0.0183988554,0.2704085,0.632340699,0.746177,0.118111742,-0.101774,0.8693109448
hsa-miR-3651,1.3188485,0.1002157324,1.4422425,0.0358843466,1.6820945,0.010737678,1.679415,0.0102065261,1.762151,0.0077837064
hsa-miR-3653,0.168895,0.478532546,0.2008755,0.311942167,0.3437305,0.0543530785,0.425173,0.0218189383,0.613113,0.0030368774
hsa-miR-3654,-0.0079355,0.9951714753,1.1890905,0.0087689933,1.044739,0.0098001428,0.6149225,0.0891212149,0.6083065,0.0931809422
hsa-miR-3656,-0.1767325,0.6052265698,-0.1292655,0.6878892697,-0.5717935,0.02434685,-0.347456,0.1437895142,-0.38316,0.10912981
hsa-miR-3663-5p,0.448422,0.0428434146,0.546585,0.0085183614,1.296065,2.68082775274117E-05,0.599078,0.0026065912,0.4814855,0.0083949383
hsa-miR-3665,-0.1474505,0.843612103,0.339716,0.4117246331,-0.6805555,0.0595498947,-0.812273,0.0280976529,-0.7200655,0.0463458001
hsa-miR-3685,-0.018031,0.987229621,0.107973,0.8742034564,-0.802902,0.0829525418,-1.062644,0.0278258959,-1.415679,0.0067575799
hsa-miR-3686,0.255979,0.7072212816,0.806135,0.0846339361,1.4155525,0.0049827971,0.8090505,0.0591684847,0.949671,0.03090823
hsa-miR-3687,0.2545415,0.3644904532,-0.232333,0.3446978974,0.679386,0.0060048627,0.3395155,0.1094755001,-0.058576,0.8224224643
hsa-miR-3690,0.1479175,0.9343346975,0.477619,0.5928414017,1.5522595,0.0347267763,0.780137,0.2635955215,0.8119545,0.2340947219
hsa-miR-369-3p,-0.051642,0.9362749983,-0.482421,0.0906222866,-0.66577,0.0166672901,-0.2235655,0.3959297118,-0.045865,0.8910517633
hsa-miR-371-5p,0.6329875,0.2558066207,1.0355865,0.0381928643,-0.1895915,0.7274551744,-0.102548,0.867091772,0.239539,0.6051332523
hsa-miR-373,0.1345585,0.8872551801,0.225846,0.6780701275,-0.9207725,0.0313625614,-0.978449,0.0233871228,-0.858833,0.0403808989
hsa-miR-374a,-0.3017055,0.292763491,-0.617582,0.0194394645,-0.9475065,0.0011081525,-0.923684,0.0011711868,-0.7597315,0.0035910975
hsa-miR-374b,-0.4617815,0.2797542978,-0.723871,0.0510704959,-0.6916535,0.0428097292,-0.859366,0.0155183529,-0.673374,0.0460224427
hsa-miR-374c,-0.002273,0.9971493959,-0.441826,0.0338831683,-0.638512,0.003330367,-0.931041,0.000283422,-0.8422045,0.0004874688
hsa-miR-376c,-0.127111,0.7116984336,-0.91193,0.0025543684,-1.0000915,0.0006575069,-0.5718505,0.0138060255,-0.2690005,0.1986615876
hsa-miR-377,-0.389472,0.2538245658,-1.0098185,0.0042408891,-1.1513935,0.0010081422,-0.835124,0.0055356381,-0.6766045,0.016541227
hsa-miR-378,0.07822,0.9525356754,0.4217,0.5403281699,1.1819955,0.0424685657,1.0221585,0.069520424,0.879056,0.1144207395
hsa-miR-381,-0.0623115,0.9362749983,-0.6063825,0.077709438,-1.270089,0.0013530739,-1.1052495,0.0026601534,-0.745164,0.0211812821
hsa-miR-3929,0.0934145,0.8241395779,0.044902,0.8868278039,0.428819,0.048484458,0.0607085,0.8394743945,0.0375915,0.8910517633
hsa-miR-3941,0.0939305,0.9493525624,-0.6339375,0.353054047,-0.5619995,0.3626164484,-1.098841,0.0659192309,-1.3548425,0.0285670549
hsa-miR-409-3p,0.0499355,0.945234586,-0.6494785,0.0493560502,-0.7555855,0.0168278775,-0.844744,0.0093040783,-0.3384985,0.2343566532
hsa-miR-409-5p,-0.2204485,0.6766215196,-0.9633895,0.0181273489,-0.888179,0.0155265323,-0.9082055,0.0136838488,-0.8635665,0.0169890478
hsa-miR-411,-0.7409405,0.0527103031,-1.14507,0.003538561,-0.642701,0.0331491387,-0.4525285,0.115005042,-0.5778215,0.0495976251
hsa-miR-421,0.334168,0.2986287429,0.5760245,0.0415154407,-0.054404,0.8705581736,-0.099883,0.7581839623,-0.1604735,0.5311523676
hsa-miR-423-3p,0.4677455,0.2125150612,0.2034925,0.5723939322,0.72459,0.0184064635,0.7998955,0.0111481798,1.171191,0.0012623324
hsa-miR-423-5p,0.0923485,0.9113045456,0.217579,0.6040554115,0.1034925,0.8117526218,0.5754645,0.0814619853,0.8498755,0.0162362182
hsa-miR-424,0.0861185,0.8411802809,-0.1313765,0.6174123595,0.6981885,0.004747148,0.9602425,0.000588108,1.4841415,3.18908655412833E-05
hsa-miR-425,0.305497,0.5094312355,0.333588,0.3779837659,0.9642795,0.0094171933,0.7404075,0.0314392862,0.70993,0.0375955015
hsa-miR-4251,-0.471613,0.455007625,-0.836489,0.1044268878,-0.816311,0.0798121129,-1.012416,0.035118137,-0.6688795,0.143995054
hsa-miR-4260,-0.725279,0.0491521858,-0.9902165,0.0058973883,-1.114993,0.0016236657,-1.34027,0.0004693691,-0.8564325,0.0067261186
hsa-miR-4262,0.533221,0.0882114497,1.0644305,0.0016013786,1.1702845,0.0003635817,1.244299,0.0002323036,1.6007005,3.79171791488936E-05
hsa-miR-4273,-0.34675,0.1789729109,-0.627761,0.0095578079,-0.965696,0.0004461978,-1.145267,0.0001410052,-1.1416605,0.0001245257
hsa-miR-4284,-0.203596,0.7745771642,-0.345949,0.4660175774,-0.850919,0.0381629458,-0.700967,0.0743768791,-0.962071,0.0204026563
hsa-miR-4286,-0.6410295,0.1708845036,-0.6460155,0.0984010305,-0.7541145,0.0403409851,-0.549279,0.1160848562,-0.133768,0.7407726472
hsa-miR-4288,-0.675944,0.0079972915,-1.21453,7.63335589717519E-05,-1.3338,2.48876074931019E-05,-1.559295,6.16819689663316E-06,-1.6378105,4.78923236011905E-06
hsa-miR-4289,-0.3384525,0.2510753658,-0.125421,0.6814717961,0.051944,0.8705581736,0.009724,0.9845796605,0.5198635,0.0290035434
hsa-miR-4290,-0.0345225,0.9808009284,0.04205,0.9343134872,0.0858185,0.8718459727,0.948127,0.0265772642,0.4799575,0.2252490674
hsa-miR-4291,0.123256,0.7671519366,0.7648535,0.0088313808,0.7799465,0.0051261697,0.7447685,0.0055044866,1.0855,0.0005623448
hsa-miR-4299,-0.053353,0.930176967,0.137001,0.663106529,0.689978,0.0096455389,-0.0303425,0.9343568722,-0.0444735,0.8888070153
hsa-miR-4301,0.0605135,0.8872551801,-0.1466095,0.5296372107,-0.5799975,0.0069269754,-0.8713125,0.0006056768,-0.984751,0.0002509513
hsa-miR-4308,0.004142,0.9951714753,0.259223,0.3446978974,1.2224185,0.0003433425,0.703485,0.0079104027,0.809879,0.0037312303
