GeneID,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,D1.adjPval,D3.adjPval,D6.adjPval,D10.adjPval,D14.adjPval
RASAL2,-0.4175485679,-0.3589805804,0.0676295835,-0.2351303499,-0.2828229712,0.020599231,0.0351453149,0.7763905533,0.1649861964,0.0054190411
RASD1,-2.9628914796,-2.2235955904,-0.1623106582,-2.2980823507,-2.5717184763,0.0143274012,0.0487844578,0.9348302718,0.0378174593,0.0006362834
RASD2,1.3620222852,0.6868260783,1.3548798854,0.7959219532,1.0092725536,0.0085272166,0.1653883757,0.0048824089,0.0873533889,0.0010593164
RASIP1,1.4307567918,1.5730044929,1.2658539231,1.3260404468,0.898722182,0.0027313254,0.0010635928,0.0033213663,0.0030582718,0.0009579598
RASL11A,-0.6054391738,-0.6450695569,-0.4188138992,-0.1424731131,-0.0850027851,0.011923041,0.0060987381,0.0454758455,0.6150788345,0.5619367976
RASL11B,4.0637928755,2.0860963917,1.9361320227,2.070370076,2.064192818,1.81685267448999E-05,0.0015848896,0.0018998075,0.0014986658,2.17331722962998E-05
RASL12,0.570994692,0.083117954,0.1275780838,0.0128456396,0.0875499155,0.0012938339,0.7287964177,0.4229658964,0.9657583359,0.3248036614
RASSF1,0.4500047429,0.6108694588,1.4881531038,0.7743475621,1.1342130688,0.5234349318,0.2371800452,0.0028011026,0.0987584738,0.0004775736
RASSF2,0.2962936444,0.0996294831,0.5195002567,0.1613385215,0.1703032519,0.1180957959,0.7198699374,0.0037743264,0.4037087935,0.0822055207
RASSF4,-0.0396894137,0.0075720392,1.2310554944,0.6810409874,0.6825060451,0.9748670581,0.9918964489,0.0003222086,0.0183540602,0.0004962643
RASSF5,-0.1113770931,0.0126807501,0.6484460309,0.1501981438,0.3767365663,0.8909845376,0.9859376745,0.0185148779,0.7041738876,0.0216095159
RASSF6,0.1841925199,-0.0465204384,-0.1560099269,-0.2873053016,-0.3608855868,0.6837224296,0.9359547507,0.6065897247,0.2702583974,0.0129961542
RASSF7,-0.2323620256,1.1435390162,2.3108790882,2.4364882289,2.2774021672,0.437709817,0.0001062355,3.41716489142235E-07,0.000000249,2.9385633539132E-09
RASSF9,-0.5859890004,-0.695174507,-0.9535119947,-0.6518476861,-0.8408699351,0.0198410862,0.0055184785,0.000482778,0.0074942237,2.00887940876913E-05
